Axis1,Axis2,Axis3,datetime,hand,hand_dominance,type,hand_type,session,hand_label,id
13,0,0,2017-10-23 17:43:32,R,L,ucp,ndom,dom,ndom,UCP0
78,190,68,2017-10-23 17:43:32,L,L,ucp,dom,dom,dom,UCP0
72,100,55,2017-10-23 17:43:33,L,L,ucp,dom,dom,dom,UCP0
16,0,0,2017-10-23 17:43:33,R,L,ucp,ndom,dom,ndom,UCP0
75,132,150,2017-10-23 17:43:34,L,L,ucp,dom,dom,dom,UCP0
11,0,0,2017-10-23 17:43:34,R,L,ucp,ndom,dom,ndom,UCP0
258,123,143,2017-10-23 17:43:35,L,L,ucp,dom,dom,dom,UCP0
22,12,13,2017-10-23 17:43:35,R,L,ucp,ndom,dom,ndom,UCP0
13,22,15,2016-11-19 16:04:40,R,R,ucp,dom,ndom,dom,UCP1
107,111,70,2016-11-19 16:04:40,L,R,ucp,ndom,ndom,ndom,UCP1
72,71,104,2016-11-19 16:04:41,L,R,ucp,ndom,ndom,ndom,UCP1
16,70,28,2016-11-19 16:04:41,R,R,ucp,dom,ndom,dom,UCP1
159,52,95,2016-11-19 16:04:42,L,R,ucp,ndom,ndom,ndom,UCP1
0,60,4,2016-11-19 16:04:42,R,R,ucp,dom,ndom,dom,UCP1
16,25,0,2016-11-19 16:04:43,R,R,ucp,dom,ndom,dom,UCP1
75,97,79,2016-11-19 16:04:43,L,R,ucp,ndom,ndom,ndom,UCP1
189,60,103,2016-11-19 16:04:44,L,R,ucp,ndom,ndom,ndom,UCP1
0,16,0,2016-11-19 16:04:44,R,R,ucp,dom,ndom,dom,UCP1
28,61,27,2016-11-19 16:04:45,R,R,ucp,dom,ndom,dom,UCP1
154,36,88,2016-11-19 16:04:45,L,R,ucp,ndom,ndom,ndom,UCP1
0,34,0,2016-11-19 16:04:46,R,R,ucp,dom,ndom,dom,UCP1
113,53,124,2016-11-19 16:04:46,L,R,ucp,ndom,ndom,ndom,UCP1
100,79,89,2016-11-19 16:04:47,L,R,ucp,ndom,ndom,ndom,UCP1
0,22,0,2016-11-19 16:04:47,R,R,ucp,dom,ndom,dom,UCP1
41,36,60,2016-11-19 16:04:48,L,R,ucp,ndom,ndom,ndom,UCP1
0,22,4,2016-11-19 16:04:48,R,R,ucp,dom,ndom,dom,UCP1
0,29,5,2016-11-19 16:04:49,R,R,ucp,dom,ndom,dom,UCP1
53,143,9,2016-11-19 16:04:49,L,R,ucp,ndom,ndom,ndom,UCP1
6,31,26,2016-11-19 16:04:50,R,R,ucp,dom,ndom,dom,UCP1
100,49,71,2016-11-19 16:04:50,L,R,ucp,ndom,ndom,ndom,UCP1
101,114,99,2016-11-19 16:04:51,L,R,ucp,ndom,ndom,ndom,UCP1
0,0,0,2016-11-19 16:04:51,R,R,ucp,dom,ndom,dom,UCP1
73,126,51,2016-11-19 16:04:52,L,R,ucp,ndom,ndom,ndom,UCP1
0,6,0,2016-11-19 16:04:52,R,R,ucp,dom,ndom,dom,UCP1
70,72,37,2016-11-19 16:04:53,L,R,ucp,ndom,ndom,ndom,UCP1
11,0,19,2016-11-19 16:04:53,R,R,ucp,dom,ndom,dom,UCP1
181,66,138,2016-11-19 16:04:54,L,R,ucp,ndom,ndom,ndom,UCP1
0,2,1,2016-11-19 16:04:54,R,R,ucp,dom,ndom,dom,UCP1
136,65,99,2016-11-19 16:04:55,L,R,ucp,ndom,ndom,ndom,UCP1
0,21,46,2016-11-19 16:04:55,R,R,ucp,dom,ndom,dom,UCP1
83,66,154,2016-11-19 16:04:56,L,R,ucp,ndom,ndom,ndom,UCP1
0,0,8,2016-11-19 16:04:56,R,R,ucp,dom,ndom,dom,UCP1
9,0,35,2016-11-19 16:04:57,R,R,ucp,dom,ndom,dom,UCP1
129,85,75,2016-11-19 16:04:57,L,R,ucp,ndom,ndom,ndom,UCP1
85,65,69,2016-11-19 16:04:58,L,R,ucp,ndom,ndom,ndom,UCP1
0,0,1,2016-11-19 16:04:58,R,R,ucp,dom,ndom,dom,UCP1
84,40,125,2016-11-19 16:04:59,L,R,ucp,ndom,ndom,ndom,UCP1
15,0,3,2016-11-19 16:04:59,R,R,ucp,dom,ndom,dom,UCP1
145,37,48,2016-11-19 16:05:00,L,R,ucp,ndom,ndom,ndom,UCP1
0,0,11,2016-11-19 16:05:00,R,R,ucp,dom,ndom,dom,UCP1
75,32,85,2016-11-19 16:05:01,L,R,ucp,ndom,ndom,ndom,UCP1
8,0,15,2016-11-19 16:05:01,R,R,ucp,dom,ndom,dom,UCP1
21,0,26,2016-11-19 16:05:02,R,R,ucp,dom,ndom,dom,UCP1
136,37,105,2016-11-19 16:05:02,L,R,ucp,ndom,ndom,ndom,UCP1
9,0,53,2016-11-19 16:05:03,R,R,ucp,dom,ndom,dom,UCP1
70,50,82,2016-11-19 16:05:03,L,R,ucp,ndom,ndom,ndom,UCP1
3,0,33,2016-11-19 16:05:04,R,R,ucp,dom,ndom,dom,UCP1
154,43,135,2016-11-19 16:05:04,L,R,ucp,ndom,ndom,ndom,UCP1
4,0,28,2016-11-19 16:05:05,R,R,ucp,dom,ndom,dom,UCP1
72,69,64,2016-11-19 16:05:05,L,R,ucp,ndom,ndom,ndom,UCP1
0,0,10,2016-11-19 16:05:06,R,R,ucp,dom,ndom,dom,UCP1
64,8,27,2016-11-19 16:05:06,L,R,ucp,ndom,ndom,ndom,UCP1
1,0,0,2016-11-19 16:05:07,R,R,ucp,dom,ndom,dom,UCP1
33,68,60,2016-11-19 16:05:07,L,R,ucp,ndom,ndom,ndom,UCP1
95,108,117,2016-11-19 16:05:08,L,R,ucp,ndom,ndom,ndom,UCP1
5,51,108,2016-11-19 16:05:08,R,R,ucp,dom,ndom,dom,UCP1
66,96,88,2016-11-19 16:05:09,L,R,ucp,ndom,ndom,ndom,UCP1
10,53,69,2016-11-19 16:05:09,R,R,ucp,dom,ndom,dom,UCP1
104,135,104,2016-11-19 16:05:10,L,R,ucp,ndom,ndom,ndom,UCP1
0,3,52,2016-11-19 16:05:10,R,R,ucp,dom,ndom,dom,UCP1
3,0,3,2016-11-19 16:05:11,R,R,ucp,dom,ndom,dom,UCP1
16,39,41,2016-11-19 16:05:11,L,R,ucp,ndom,ndom,ndom,UCP1
41,47,15,2016-11-19 16:05:12,L,R,ucp,ndom,ndom,ndom,UCP1
12,6,5,2016-11-19 16:05:12,R,R,ucp,dom,ndom,dom,UCP1
0,0,32,2016-11-19 16:05:13,R,R,ucp,dom,ndom,dom,UCP1
65,68,95,2016-11-19 16:05:13,L,R,ucp,ndom,ndom,ndom,UCP1
12,7,30,2016-11-19 16:05:14,R,R,ucp,dom,ndom,dom,UCP1
80,71,113,2016-11-19 16:05:14,L,R,ucp,ndom,ndom,ndom,UCP1
49,68,120,2016-11-19 16:05:15,L,R,ucp,ndom,ndom,ndom,UCP1
1,27,44,2016-11-19 16:05:15,R,R,ucp,dom,ndom,dom,UCP1
67,67,122,2016-11-19 16:05:16,L,R,ucp,ndom,ndom,ndom,UCP1
0,29,62,2016-11-19 16:05:16,R,R,ucp,dom,ndom,dom,UCP1
135,75,98,2016-11-19 16:05:17,L,R,ucp,ndom,ndom,ndom,UCP1
0,0,0,2016-11-19 16:05:17,R,R,ucp,dom,ndom,dom,UCP1
20,22,52,2016-11-19 16:05:18,R,R,ucp,dom,ndom,dom,UCP1
70,54,68,2016-11-19 16:05:18,L,R,ucp,ndom,ndom,ndom,UCP1
22,16,39,2016-11-19 16:05:19,R,R,ucp,dom,ndom,dom,UCP1
48,107,59,2016-11-19 16:05:19,L,R,ucp,ndom,ndom,ndom,UCP1
