Axis1,Axis2,Axis3,datetime,hand,hand_dominance,type,hand_type,session,hand_label,id
0,0,0,2017-12-19 22:08:32,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:08:33,R,R,td,dom,ndom,dom,TD0
164,39,97,2017-12-19 22:08:33,L,R,td,ndom,ndom,ndom,TD0
82,43,75,2017-12-19 22:08:34,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:34,R,R,td,dom,ndom,dom,TD0
70,33,76,2017-12-19 22:08:35,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:35,R,R,td,dom,ndom,dom,TD0
66,59,55,2017-12-19 22:08:36,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:36,R,R,td,dom,ndom,dom,TD0
68,35,99,2017-12-19 22:08:37,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:37,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:08:38,R,R,td,dom,ndom,dom,TD0
56,23,85,2017-12-19 22:08:38,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:39,R,R,td,dom,ndom,dom,TD0
74,61,103,2017-12-19 22:08:39,L,R,td,ndom,ndom,ndom,TD0
63,107,86,2017-12-19 22:08:40,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:40,R,R,td,dom,ndom,dom,TD0
94,85,90,2017-12-19 22:08:41,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:41,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:08:42,R,R,td,dom,ndom,dom,TD0
158,22,98,2017-12-19 22:08:42,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:43,R,R,td,dom,ndom,dom,TD0
78,37,44,2017-12-19 22:08:43,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:44,R,R,td,dom,ndom,dom,TD0
66,32,112,2017-12-19 22:08:44,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:45,R,R,td,dom,ndom,dom,TD0
114,32,101,2017-12-19 22:08:45,L,R,td,ndom,ndom,ndom,TD0
103,25,82,2017-12-19 22:08:46,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:46,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:08:47,R,R,td,dom,ndom,dom,TD0
91,44,99,2017-12-19 22:08:47,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:48,R,R,td,dom,ndom,dom,TD0
107,53,99,2017-12-19 22:08:48,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:49,R,R,td,dom,ndom,dom,TD0
55,64,113,2017-12-19 22:08:49,L,R,td,ndom,ndom,ndom,TD0
91,44,136,2017-12-19 22:08:50,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:50,R,R,td,dom,ndom,dom,TD0
91,67,95,2017-12-19 22:08:51,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:51,R,R,td,dom,ndom,dom,TD0
67,57,92,2017-12-19 22:08:52,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:52,R,R,td,dom,ndom,dom,TD0
89,71,109,2017-12-19 22:08:53,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:53,R,R,td,dom,ndom,dom,TD0
102,54,74,2017-12-19 22:08:54,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:54,R,R,td,dom,ndom,dom,TD0
73,31,73,2017-12-19 22:08:55,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:55,R,R,td,dom,ndom,dom,TD0
55,51,95,2017-12-19 22:08:56,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:56,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:08:57,R,R,td,dom,ndom,dom,TD0
58,65,64,2017-12-19 22:08:57,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:58,R,R,td,dom,ndom,dom,TD0
64,130,64,2017-12-19 22:08:58,L,R,td,ndom,ndom,ndom,TD0
55,100,55,2017-12-19 22:08:59,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:59,R,R,td,dom,ndom,dom,TD0
160,104,51,2017-12-19 22:09:00,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:00,R,R,td,dom,ndom,dom,TD0
120,52,60,2017-12-19 22:09:01,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:01,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:09:02,R,R,td,dom,ndom,dom,TD0
191,53,52,2017-12-19 22:09:02,L,R,td,ndom,ndom,ndom,TD0
124,88,44,2017-12-19 22:09:03,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:03,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:09:04,R,R,td,dom,ndom,dom,TD0
105,43,78,2017-12-19 22:09:04,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:05,R,R,td,dom,ndom,dom,TD0
56,35,115,2017-12-19 22:09:05,L,R,td,ndom,ndom,ndom,TD0
32,67,67,2017-12-19 22:09:06,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:06,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:09:07,R,R,td,dom,ndom,dom,TD0
30,60,56,2017-12-19 22:09:07,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:08,R,R,td,dom,ndom,dom,TD0
85,28,125,2017-12-19 22:09:08,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:09,R,R,td,dom,ndom,dom,TD0
111,32,129,2017-12-19 22:09:09,L,R,td,ndom,ndom,ndom,TD0
48,85,96,2017-12-19 22:09:10,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:10,R,R,td,dom,ndom,dom,TD0
93,74,31,2017-12-19 22:09:11,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:11,R,R,td,dom,ndom,dom,TD0
83,46,115,2017-12-19 22:09:12,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:12,R,R,td,dom,ndom,dom,TD0
43,47,116,2017-12-19 22:09:13,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:13,R,R,td,dom,ndom,dom,TD0
94,66,130,2017-12-19 22:09:14,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:14,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:09:15,R,R,td,dom,ndom,dom,TD0
48,90,105,2017-12-19 22:09:15,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:16,R,R,td,dom,ndom,dom,TD0
59,66,117,2017-12-19 22:09:16,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:17,R,R,td,dom,ndom,dom,TD0
45,46,124,2017-12-19 22:09:17,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:18,R,R,td,dom,ndom,dom,TD0
76,73,114,2017-12-19 22:09:18,L,R,td,ndom,ndom,ndom,TD0
84,38,39,2017-12-19 22:09:19,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:09:19,R,R,td,dom,ndom,dom,TD0
6,1,1,2017-12-19 22:09:20,R,R,td,dom,ndom,dom,TD0
107,112,78,2017-12-19 22:09:20,L,R,td,ndom,ndom,ndom,TD0
0,0,5,2017-04-18 16:09:45,L,R,td,ndom,dom,ndom,TD1
296,87,184,2017-04-18 16:09:45,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:09:46,L,R,td,ndom,dom,ndom,TD1
351,82,217,2017-04-18 16:09:46,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:09:47,L,R,td,ndom,dom,ndom,TD1
264,75,199,2017-04-18 16:09:47,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:09:48,L,R,td,ndom,dom,ndom,TD1
140,40,123,2017-04-18 16:09:48,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:09:49,L,R,td,ndom,dom,ndom,TD1
153,175,104,2017-04-18 16:09:49,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:09:50,L,R,td,ndom,dom,ndom,TD1
80,121,92,2017-04-18 16:09:50,R,R,td,dom,dom,dom,TD1
138,145,152,2017-04-18 16:09:51,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:09:51,L,R,td,ndom,dom,ndom,TD1
177,125,139,2017-04-18 16:09:52,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:09:52,L,R,td,ndom,dom,ndom,TD1
0,0,0,2017-04-18 16:09:53,L,R,td,ndom,dom,ndom,TD1
206,112,97,2017-04-18 16:09:53,R,R,td,dom,dom,dom,TD1
195,81,115,2017-04-18 16:09:54,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:09:54,L,R,td,ndom,dom,ndom,TD1
0,0,0,2017-04-18 16:09:55,L,R,td,ndom,dom,ndom,TD1
92,86,127,2017-04-18 16:09:55,R,R,td,dom,dom,dom,TD1
123,108,116,2017-04-18 16:09:56,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:09:56,L,R,td,ndom,dom,ndom,TD1
0,0,0,2017-04-18 16:09:57,L,R,td,ndom,dom,ndom,TD1
114,69,105,2017-04-18 16:09:57,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:09:58,L,R,td,ndom,dom,ndom,TD1
117,91,115,2017-04-18 16:09:58,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:09:59,L,R,td,ndom,dom,ndom,TD1
74,96,131,2017-04-18 16:09:59,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:00,L,R,td,ndom,dom,ndom,TD1
84,103,103,2017-04-18 16:10:00,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:01,L,R,td,ndom,dom,ndom,TD1
32,130,120,2017-04-18 16:10:01,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:02,L,R,td,ndom,dom,ndom,TD1
34,76,107,2017-04-18 16:10:02,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:03,L,R,td,ndom,dom,ndom,TD1
42,53,67,2017-04-18 16:10:03,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:04,L,R,td,ndom,dom,ndom,TD1
44,55,61,2017-04-18 16:10:04,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:05,L,R,td,ndom,dom,ndom,TD1
47,63,64,2017-04-18 16:10:05,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:06,L,R,td,ndom,dom,ndom,TD1
72,77,76,2017-04-18 16:10:06,R,R,td,dom,dom,dom,TD1
29,36,59,2017-04-18 16:10:07,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:07,L,R,td,ndom,dom,ndom,TD1
0,0,0,2017-04-18 16:10:08,L,R,td,ndom,dom,ndom,TD1
76,67,96,2017-04-18 16:10:08,R,R,td,dom,dom,dom,TD1
76,99,56,2017-04-18 16:10:09,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:09,L,R,td,ndom,dom,ndom,TD1
0,0,0,2017-04-18 16:10:10,L,R,td,ndom,dom,ndom,TD1
107,75,89,2017-04-18 16:10:10,R,R,td,dom,dom,dom,TD1
66,106,68,2017-04-18 16:10:11,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:11,L,R,td,ndom,dom,ndom,TD1
0,0,0,2017-04-18 16:10:12,L,R,td,ndom,dom,ndom,TD1
39,56,117,2017-04-18 16:10:12,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:13,L,R,td,ndom,dom,ndom,TD1
39,39,104,2017-04-18 16:10:13,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:14,L,R,td,ndom,dom,ndom,TD1
47,87,89,2017-04-18 16:10:14,R,R,td,dom,dom,dom,TD1
18,83,96,2017-04-18 16:10:15,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:15,L,R,td,ndom,dom,ndom,TD1
43,51,114,2017-04-18 16:10:16,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:16,L,R,td,ndom,dom,ndom,TD1
39,62,92,2017-04-18 16:10:17,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:17,L,R,td,ndom,dom,ndom,TD1
73,78,63,2017-04-18 16:10:18,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:18,L,R,td,ndom,dom,ndom,TD1
97,83,70,2017-04-18 16:10:19,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:19,L,R,td,ndom,dom,ndom,TD1
89,45,26,2017-04-18 16:10:20,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:20,L,R,td,ndom,dom,ndom,TD1
112,62,49,2017-04-18 16:10:21,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:21,L,R,td,ndom,dom,ndom,TD1
0,0,0,2017-04-18 16:10:22,L,R,td,ndom,dom,ndom,TD1
37,62,62,2017-04-18 16:10:22,R,R,td,dom,dom,dom,TD1
41,41,78,2017-04-18 16:10:23,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:23,L,R,td,ndom,dom,ndom,TD1
